delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.9,2025-06,STR,5,0.23831352938245545,0.16387303760818273,25
0.9,2025-06,STV,1,0.09545222161905122,0.2175374143945794,25
0.9,2025-06,STV,2,0.11554906685391701,0.053189650227193984,24
0.9,2025-06,STV,3,0.20138691020252084,0.2070801016345981,24
0.9,2025-06,STV,4,0.15093101199146863,0.10071516860539206,24
0.9,2025-06,STV,5,0.3359564624895983,0.3101235257519498,25
0.9,2025-07,STR,1,0.05815778822160661,0.03568605779498076,25
0.9,2025-07,STR,2,0.033898376807005796,-0.04507370756192378,25
0.9,2025-07,STR,3,0.08438706726106458,0.17903981981672507,24
0.9,2025-07,STR,4,0.04347346216231495,0.07690116421691932,25
0.9,2025-07,STR,5,0.003860301665967141,0.10327371704798748,25
0.9,2025-07,STV,1,-0.010874646361128244,0.09334879195585881,25
0.9,2025-07,STV,2,0.09628915440123181,0.11869260936504786,25
0.9,2025-07,STV,3,0.15461242427040334,0.18678643340820336,24
0.9,2025-07,STV,4,-0.009071363860892214,-0.021483767150757324,25
0.9,2025-07,STV,5,-0.004369558051282083,-0.05448540699038214,25
0.9,2025-08,STR,1,44.066718208358665,-0.019318352722770084,26
0.9,2025-08,STR,2,0.015402082003069216,0.04976098854924482,25
0.9,2025-08,STR,3,0.008386856506598645,0.00761322773959257,25
0.9,2025-08,STR,4,0.02416177014302122,0.1140271140464904,25
0.9,2025-08,STR,5,0.10237921169439296,-0.008761674756988542,25
0.9,2025-08,STV,1,-0.031073341990116136,0.009974052420955757,26
0.9,2025-08,STV,2,0.10759540345393415,0.05916590693024951,25
0.9,2025-08,STV,3,-0.025555445948284978,-0.013500802780594312,25
0.9,2025-08,STV,4,0.08558968796415148,0.032589058972613875,25
0.9,2025-08,STV,5,45.844403487239994,0.05566039918539368,25
0.9,2025-09,STR,1,-0.16954940864050377,-0.2021378572545291,26
0.9,2025-09,STR,2,-0.13692681790046987,-0.16408894165005325,26
0.9,2025-09,STR,3,-0.03442581926705082,-0.052017211139833305,26
0.9,2025-09,STR,4,-0.14878058483957984,-0.07398907343619134,26
0.9,2025-09,STR,5,0.1597555341532827,-0.18314990659227126,26
0.9,2025-09,STV,1,-0.16414859749374042,-0.07786511286962863,26
0.9,2025-09,STV,2,-0.06743202286858826,-0.22985204122721684,26
0.9,2025-09,STV,3,0.0077864453600484836,-0.027731607936435598,26
0.9,2025-09,STV,4,-0.021620397625833402,-0.12173503610774734,26
0.9,2025-09,STV,5,-0.08451252386620811,-0.0510673314291798,26
0.9,2025-10,STR,1,-0.2021947569311179,-0.2436119470174889,27
0.9,2025-10,STR,2,-0.1394995480922684,-0.13211518924145554,26
0.9,2025-10,STR,3,-0.030270412956807585,-0.16199705520025048,27
0.9,2025-10,STR,4,-0.043637077646410144,0.0006219282785136744,26
0.9,2025-10,STR,5,-0.16951775213743514,-0.2205283115346891,27
0.9,2025-10,STV,1,-0.15933703734532967,-0.16342955328968184,27
0.9,2025-10,STV,2,-0.17309179971359256,-0.12337900494333774,26
0.9,2025-10,STV,3,-0.13780469211092528,-0.09634227424889877,27
0.9,2025-10,STV,4,-0.09378736790623855,-0.00023391551434011177,26
0.9,2025-10,STV,5,-0.02420022631318096,-0.16966532932740572,27
0.9,2025-11,STR,1,-0.01751173009862899,-0.023525608917062624,28
0.9,2025-11,STR,2,-0.016653779006148478,-0.019290250023348186,28
0.9,2025-11,STR,3,-0.08564598712065306,-0.09572841206305155,27
0.9,2025-11,STR,4,-0.0768375227294793,-0.10506918503700012,28
0.9,2025-11,STR,5,-0.04603115336287305,-0.03698599198882812,28
0.9,2025-11,STV,1,-0.10219416198786346,-0.042066463322728974,28
0.9,2025-11,STV,2,-0.08853509644260711,-0.03664296424836543,28
0.9,2025-11,STV,3,-0.031330586607297435,-0.07517585694377574,27
0.9,2025-11,STV,4,-0.0521725588989504,-0.07941004137638172,28
0.9,2025-11,STV,5,0.03349206735155539,-0.020277834861094662,28
0.9,2025-12,STR,1,0.0362737414104044,-0.03772915273473019,29
0.9,2025-12,STR,2,0.007338550564802333,-0.03673420657358947,29
0.9,2025-12,STR,3,-0.021020209962095037,-0.008510067084758384,29
0.9,2025-12,STR,4,0.06588860043167342,-0.06854788302442791,29
0.9,2025-12,STR,5,-0.06191876463391299,-0.0958614796199921,29
0.9,2025-12,STV,1,-0.02112044355183659,-0.04855008559415082,29
0.9,2025-12,STV,2,-0.0007466215637986505,0.0005750709303924443,29
0.9,2025-12,STV,3,0.0459742975603005,-0.01437142405798983,29
0.9,2025-12,STV,4,0.036103898627288564,-0.038828055810194835,29
0.9,2025-12,STV,5,-0.033649213261081674,-0.038101402178988795,29
0.9,2026-01,STR,1,0.0118978294499692,-0.02138220513923014,30
0.9,2026-01,STR,2,-0.003999094968657178,-0.142090982754661,29
0.9,2026-01,STR,3,-0.052556406994336786,-0.18719108078719557,30
0.9,2026-01,STR,4,-0.07555198535325716,-0.15382382059541125,29
0.9,2026-01,STR,5,0.0022118827765876146,-0.0815711586831729,30
0.9,2026-01,STV,1,-0.09089973667877874,-0.131025583979609,30
0.9,2026-01,STV,2,-0.09868873112262874,-0.06234917276896394,29
0.9,2026-01,STV,3,0.04454219209753026,-0.03636039193730433,30
0.9,2026-01,STV,4,0.018422844695106657,-0.019932182874280578,29
0.9,2026-01,STV,5,0.008601829048889332,-0.16338442976974699,30
0.9,2026-02,STR,1,-0.0014203905554702227,0.0008837253946866768,30
0.9,2026-02,STR,2,-0.04339107966899871,0.0016273510831614913,29
0.9,2026-02,STR,3,-0.05192952672717212,-0.04169241674374378,30
0.9,2026-02,STR,4,-0.044482585859459585,-0.026671717732281126,29
0.9,2026-02,STR,5,0.06035668875208209,-0.060855610603716775,30
0.9,2026-02,STV,1,-0.06254838831049617,-0.004451263359705029,30
0.9,2026-02,STV,2,-0.0013141600846665487,0.005317947768930013,29
0.9,2026-02,STV,3,-0.020893700951057984,-0.0524641079962229,30
